 IDA:ARUK-UCL.
 IDA:ARUK-UCL.
 IDA:UniProtKB.
 IEA:UniProtKB-SubCell.
 TAS:Reactome.
 TAS:Reactome.
 HDA:UniProtKB.
 IDA:UniProtKB.
 IDA:BHF-UCL.
 NAS:ComplexPortal.
 TAS:BHF-UCL.
 IDA:UniProtKB.
 IDA:UniProtKB.
 IDA:UniProtKB.
 IPI:IntAct.
 IDA:UniProtKB.
 IDA:UniProtKB.
 IDA:UniProtKB.
 TAS:BHF-UCL.
 IC:BHF-UCL.
 IMP:BHF-UCL.
 IC:BHF-UCL.
 IDA:UniProt.
 IEA:Ensembl.
 NAS:ComplexPortal.
 IEA:Ensembl.
 IMP:ARUK-UCL.
 IEA:Ensembl.
 IMP:UniProtKB.
 IEA:Ensembl.
 IMP:BHF-UCL.
 IGI:ARUK-UCL.
 IC:BHF-UCL.
 NAS:ComplexPortal.
 IDA:UniProtKB.
 IMP:BHF-UCL.
 TAS:BHF-UCL.
 IC:BHF-UCL.
 IC:BHF-UCL.
 IMP:BHF-UCL.
 IGI:ARUK-UCL.
 IC:BHF-UCL.
 IDA:UniProtKB.
 IEA:Ensembl.
 NAS:ComplexPortal.
