 HDA:UniProtKB.
 TAS:Reactome.
 TAS:Reactome.
 HDA:UniProtKB.
 TAS:Reactome.
 IDA:UniProtKB.
 TAS:Reactome.
 IDA:BHF-UCL.
 IDA:BHF-UCL.
 TAS:Reactome.
 IBA:GO_Central.
 IBA:GO_Central.
 IDA:UniProtKB.
 IEA:UniProtKB-KW.
 IBA:GO_Central.
 IDA:UniProtKB.
 IBA:GO_Central.
 IEA:UniProtKB-KW.
 NAS:ComplexPortal.
 IEA:GOC.
 IDA:BHF-UCL.
 IDA:ComplexPortal.
 IDA:ComplexPortal.
 HMP:UniProtKB.
 NAS:UniProtKB.
 IEA:UniProtKB-KW.
 IMP:UniProtKB.
 IDA:BHF-UCL.
